paper_id,figure_id,curve_id,x_value,x_unit,y_value,y_unit,source_type,extraction_method,notes,wall_superheat_K,heat_flux_W_m2
allred-2018-superhydrophobic-trl,fig-4,cb,4.18,°C,2.47,W/cm2,raster_digitized_figure,pixel_calibrated_digitization,"Panel (a) only (top-left panel of this multi-panel figure). Curve isolated by red RGB color mask (square markers, red dotted connecting line); marker centers found as connected-component centroids of red-colored pixels. Axis calibrated from the plot frame border pixels (x=0 at px147.5, x=30 at px984.5; y=0 at px673.5, y=120 at px43.5), cross-checked against the pixel positions of the printed tick-label glyphs (0,5,10,...,30 and 0,20,...,120), which matched the frame-based calibration within ~1 px. No embedded vector paths were present for this panel (flat raster image).",4.18,24700.000000000004
allred-2018-superhydrophobic-trl,fig-4,cb,7.06,°C,5.59,W/cm2,raster_digitized_figure,pixel_calibrated_digitization,"Panel (a) only (top-left panel of this multi-panel figure). Curve isolated by red RGB color mask (square markers, red dotted connecting line); marker centers found as connected-component centroids of red-colored pixels. Axis calibrated from the plot frame border pixels (x=0 at px147.5, x=30 at px984.5; y=0 at px673.5, y=120 at px43.5), cross-checked against the pixel positions of the printed tick-label glyphs (0,5,10,...,30 and 0,20,...,120), which matched the frame-based calibration within ~1 px. No embedded vector paths were present for this panel (flat raster image).",7.06,55900.0
allred-2018-superhydrophobic-trl,fig-4,cb,9.18,°C,9.71,W/cm2,raster_digitized_figure,pixel_calibrated_digitization,"Panel (a) only (top-left panel of this multi-panel figure). Curve isolated by red RGB color mask (square markers, red dotted connecting line); marker centers found as connected-component centroids of red-colored pixels. Axis calibrated from the plot frame border pixels (x=0 at px147.5, x=30 at px984.5; y=0 at px673.5, y=120 at px43.5), cross-checked against the pixel positions of the printed tick-label glyphs (0,5,10,...,30 and 0,20,...,120), which matched the frame-based calibration within ~1 px. No embedded vector paths were present for this panel (flat raster image).",9.18,97100.00000000001
allred-2018-superhydrophobic-trl,fig-4,cb,12.97,°C,17.14,W/cm2,raster_digitized_figure,pixel_calibrated_digitization,"Panel (a) only (top-left panel of this multi-panel figure). Curve isolated by red RGB color mask (square markers, red dotted connecting line); marker centers found as connected-component centroids of red-colored pixels. Axis calibrated from the plot frame border pixels (x=0 at px147.5, x=30 at px984.5; y=0 at px673.5, y=120 at px43.5), cross-checked against the pixel positions of the printed tick-label glyphs (0,5,10,...,30 and 0,20,...,120), which matched the frame-based calibration within ~1 px. No embedded vector paths were present for this panel (flat raster image).",12.97,171400.0
allred-2018-superhydrophobic-trl,fig-4,cb,14.79,°C,20.57,W/cm2,raster_digitized_figure,pixel_calibrated_digitization,"Panel (a) only (top-left panel of this multi-panel figure). Curve isolated by red RGB color mask (square markers, red dotted connecting line); marker centers found as connected-component centroids of red-colored pixels. Axis calibrated from the plot frame border pixels (x=0 at px147.5, x=30 at px984.5; y=0 at px673.5, y=120 at px43.5), cross-checked against the pixel positions of the printed tick-label glyphs (0,5,10,...,30 and 0,20,...,120), which matched the frame-based calibration within ~1 px. No embedded vector paths were present for this panel (flat raster image).",14.79,205700.0
allred-2018-superhydrophobic-trl,fig-4,cb,22.58,°C,24.57,W/cm2,raster_digitized_figure,pixel_calibrated_digitization,"Panel (a) only (top-left panel of this multi-panel figure). Curve isolated by red RGB color mask (square markers, red dotted connecting line); marker centers found as connected-component centroids of red-colored pixels. Axis calibrated from the plot frame border pixels (x=0 at px147.5, x=30 at px984.5; y=0 at px673.5, y=120 at px43.5), cross-checked against the pixel positions of the printed tick-label glyphs (0,5,10,...,30 and 0,20,...,120), which matched the frame-based calibration within ~1 px. No embedded vector paths were present for this panel (flat raster image).",22.58,245700.0
allred-2018-superhydrophobic-trl,fig-4,cb,24.66,°C,28.19,W/cm2,raster_digitized_figure,pixel_calibrated_digitization,"Panel (a) only (top-left panel of this multi-panel figure). Curve isolated by red RGB color mask (square markers, red dotted connecting line); marker centers found as connected-component centroids of red-colored pixels. Axis calibrated from the plot frame border pixels (x=0 at px147.5, x=30 at px984.5; y=0 at px673.5, y=120 at px43.5), cross-checked against the pixel positions of the printed tick-label glyphs (0,5,10,...,30 and 0,20,...,120), which matched the frame-based calibration within ~1 px. No embedded vector paths were present for this panel (flat raster image).",24.66,281900.0
allred-2018-superhydrophobic-trl,fig-4,cb,26.74,°C,31.81,W/cm2,raster_digitized_figure,pixel_calibrated_digitization,"Panel (a) only (top-left panel of this multi-panel figure). Curve isolated by red RGB color mask (square markers, red dotted connecting line); marker centers found as connected-component centroids of red-colored pixels. Axis calibrated from the plot frame border pixels (x=0 at px147.5, x=30 at px984.5; y=0 at px673.5, y=120 at px43.5), cross-checked against the pixel positions of the printed tick-label glyphs (0,5,10,...,30 and 0,20,...,120), which matched the frame-based calibration within ~1 px. No embedded vector paths were present for this panel (flat raster image).",26.74,318100.0
allred-2018-superhydrophobic-trl,fig-4,cb,29.0,°C,35.62,W/cm2,raster_digitized_figure,pixel_calibrated_digitization,"Panel (a) only (top-left panel of this multi-panel figure). Curve isolated by red RGB color mask (square markers, red dotted connecting line); marker centers found as connected-component centroids of red-colored pixels. Axis calibrated from the plot frame border pixels (x=0 at px147.5, x=30 at px984.5; y=0 at px673.5, y=120 at px43.5), cross-checked against the pixel positions of the printed tick-label glyphs (0,5,10,...,30 and 0,20,...,120), which matched the frame-based calibration within ~1 px. No embedded vector paths were present for this panel (flat raster image).",29.0,356200.0
allred-2018-superhydrophobic-trl,fig-4,wenzel,6.98,°C,8.61,W/cm2,raster_digitized_figure,pixel_calibrated_digitization,"Panel (a) only. Curve isolated by blue RGB color mask (circular markers, blue dotted connecting line); markers are well separated with no overlap from other curves, giving a clean detection. Same axis calibration as the SHPho-CB series. A blue arrow near the top of this curve points to panel (b), not a data point, and was excluded (it forms a much larger, wider connected component than the circular markers and was filtered out).",6.98,86100.0
